nom;prenom;mail;mail_parent;profil;classe;groupe;login
Zoe;Mcdonald;suscipit@nequeNullam.co.uk;elit.elit.fermentum@Morbisit.edu;2;3;1;at,
Cameron;Spears;malesuada.Integer@mieleifend.net;justo@etmagnaPraesent.co.uk;3;5;6;id
Steven;Banks;scelerisque@estmollisnon.org;iaculis.nec.eleifend@ultricesmaurisipsum.co.uk;1;5;2;tortor,
Sarah;Powers;quis.massa@enimnon.ca;et@in.org;1;5;1;nunc
Carol;Richard;dignissim.magna@fringilla.org;et.magnis.dis@nunc.net;1;5;4;ut,
Ross;Hensley;Phasellus.dolor@risusInmi.ca;ligula.Nullam.feugiat@egestasrhoncusProin.org;3;2;3;sem
Nolan;Barker;dis@sagittisplacerat.org;Quisque@congue.co.uk;1;2;2;sollicitudin
Petra;Sanford;interdum.Nunc@necleoMorbi.net;adipiscing.elit@feugiatSednec.org;1;1;7;mauris
Winter;Carey;et@eratnonummy.org;arcu@placerat.com;2;2;2;euismod
Katelyn;Mathis;risus@tinciduntpede.org;Curabitur@vitae.com;2;4;7;eu
Catherine;Vinson;et.netus@nonummyultriciesornare.org;erat@posuereat.com;1;3;5;turpis
Steven;Cherry;vestibulum@commodoauctorvelit.net;Quisque.libero.lacus@Aeneanmassa.com;1;5;3;quis,
Piper;Carlson;ut.cursus.luctus@Fuscealiquet.com;velit.Aliquam@euneque.net;4;2;7;diam.
